id,name,developer,publisher,region,releaseDate,category,esrb,players,upc,board,sortName,UnitsSold
NES-UK-USA,DuckTales,Capcom,Capcom,NTSC (N. America),1989-09,Action & Adventure,Everyone,1,13388110162,NES-UNROM,DUCKTALES,"1,670,000"
NES-DL-USA,DuckTales 2,Make Software,Capcom,NTSC (N. America),1993-06,Action & Adventure,Everyone,1,13388110360,NES-UNROM,DUCKTALES 2,
NES-DM-USA,Dungeon Magic: Sword of the Elements,Natsume,Taito,NTSC (N. America),1990-07,Action & Adventure,Everyone,1,20588010239,NES-SKROM,DUNGEON MAGIC: SWORD OF THE ELEMENTS,
NES-B7-USA,Dusty Diamond's All-Star Softball,TOSE,Brøderbund,NTSC (N. America),1990-07,Sports,Everyone,2,106295,NES-SLROM,DUSTY DIAMOND'S ALL-STAR SOFTBALL,
NES-WZ-USA,Dynowarz: Destruction of Spondylus,Advance Communication Company,Bandai,NTSC (N. America),1990-04,Platformer,Everyone,1,45557072209,NES-SLROM,DYNOWARZ: DESTRUCTION OF SPONDYLUS,
NES-EA-USA,Elevator Action,Micronics,Taito,NTSC (N. America),1987-08,Action & Adventure,Everyone,2,20588010017,NES-NROM-256,ELEVATOR ACTION,
NES-6R-USA,Eliminator Boat Duel,Sculptured Software,Electro Brain,NTSC (N. America),1991-11,Racing,Everyone,2,99451030643,NES-SLROM,ELIMINATOR BOAT DUEL,
UNR-11-USA,Elite,David BrabenIan Bell,Unreleased,NTSC (N. America),N/A,Shooter,N/A,N/A,N/A,N/A,ELITE,
NES-EB-USA,Excitebike,Nintendo Research & Development 1,Nintendo,NTSC (N. America),1985-10-18,Programmable,Everyone,1,7.52E+11,NES-NROM-128,EXCITEBIKE,"4,160,000"
NES-8F-USA,F-15 Strike Eagle,MicroProse,MicroProse,NTSC (N. America),1992-02,Action & Adventure,Everyone,1,19703150202,NES-TLROM,F-15 STRIKE EAGLE,
NES-FA-USA,F-117A Stealth Fighter,MicroProse,MicroProse,NTSC (N. America),1992-12,Action & Adventure,Everyone,1,19703157300,NES-TLROM,F-117A STEALTH FIGHTER,
NES-YF-USA,Family Feud,Beam Software,GameTek,NTSC (N. America),1991-05,Party,Everyone,2,43948560007,NES-SHROM,FAMILY FEUD,
NES-N6-USA,Faria: A World of Mystery and Danger,Game Arts,Nexoft,NTSC (N. America),1991-06,Action & Adventure,Everyone,1,93992010508,NES-SKROM,FARIA: A WORLD OF MYSTERY AND DANGER,
NES-FX-USA,Faxanadu,Hudson Soft,Nintendo,NTSC (N. America),1989-08,RPG,Everyone,1,45496630485,NES-SGROM,FAXANADU,
NES-FC-USA,Felix the Cat,Shimada Kikaku,Hudson Soft,NTSC (N. America),1992-10,Action & Adventure,Everyone,1,39854000171,NES-TSROM,FELIX THE CAT,
NES-FG-USA,Ferrari Grand Prix Challenge,System 3,Acclaim Entertainment,NTSC (N. America),1992-06,Racing,Everyone,1,21481107026,NES-SLROM,FERRARI GRAND PRIX CHALLENGE,
NES-EQ-USA,Fester's Quest,Sunsoft,Sunsoft,NTSC (N. America),1989-09,Action & Adventure,Everyone,1,20763110075,NES-SLROM,FESTER'S QUEST,
NES-FF-USA,Final Fantasy,Square,Nintendo,NTSC (N. America),1990-05,RPG,Teen,1,45496630607,NES-SNROM,FINAL FANTASY,"1,300,000"
NES-K2-USA,Fire 'n Ice,Tecmo,Tecmo,NTSC (N. America),1993-03,Action & Adventure,Everyone,1,18946110172,NES-TLROM,FIRE 'N ICE,
NES-QF-USA,Fisher-Price: Firehouse Rescue,Imagineering,GameTek,NTSC (N. America),1992-03,Action & Adventure,Everyone,1,43948500065,NES-CNROM,FISHER-PRICE: FIREHOUSE RESCUE,
NES-F5-USA,Fisher-Price: I Can Remember,Beam Software,GameTek,NTSC (N. America),1990-03,Puzzle,Everyone,1,43948500034,NES-CNROM,FISHER-PRICE: I CAN REMEMBER,
NES-F7-USA,Fisher-Price: Perfect Fit,Beam Software,GameTek,NTSC (N. America),1990-03,Puzzle,Everyone,1,43948500027,NES-CNROM,FISHER-PRICE: PERFECT FIT,
NES-HO-USA,Fist of the North Star,Shouei System,Taxan,NTSC (N. America),1989-04,Action & Adventure,Everyone,1,40886536996,NES-UNROM,FIST OF THE NORTH STAR,
